,player_id,weights,player_name
98,3366.0,-0.1258847259287388,Diego Carlos Santos Silva
99,3380.0,-0.02707253157321242,Christian Benteke Liolo
100,3381.0,-0.2894320830421731,Nemanja Matić
101,3382.0,-0.6202255307755157,Luke Shaw
102,3385.0,-0.036995373920163055,Alexis Alejandro Sánchez Sánchez
103,3389.0,-0.023395186433784743,Eliaquim Mangala
104,3404.0,-0.3531515503460162,Youssouf Sabaly
105,3406.0,-0.34573177820461054,Jérémy Toulalan
106,3416.0,-0.2977690517660302,Gabriel Moisés Antunes da Silva
107,3417.0,-0.1338949565082342,Saidy Janko
108,3434.0,-0.1079126670659103,Stevan Jovetić
109,3436.0,-0.18281227644045978,Idrissa Gana Gueye
110,3437.0,-0.10786825174254128,Francis Coquelin
111,3441.0,0.10311748419250204,Nikola Vlašić
112,3445.0,0.2611100690425884,Radamel Falcao García Zárate
113,3446.0,-0.8124009080361192,Djibril Sidibé
114,3455.0,-0.11815279438672939,Luka Milivojević
115,3457.0,0.10086443535874005,Michy Batshuayi Tunga
116,3470.0,0.03484414436806183,Dominic Calvert-Lewin
117,3471.0,-0.1161432369240896,Dejan Lovren
118,3472.0,-0.3643566752945711,Willian Borges da Silva
119,3473.0,-0.21724604020087987,James Philip Milner
120,3477.0,0.16716679921273134,Álvaro Borja Morata Martín
121,3478.0,-0.18798760829240646,Francesc Fàbregas i Soler
122,3486.0,0.023708677199141007,Fernando Llorente Torres
123,3493.0,0.004224810039008375,Emre Can
124,3494.0,-0.38441098312119154,Davinson Sánchez Mina
125,3495.0,-0.041204743760154414,Joe Gomez
126,3496.0,-0.27984191727998814,Mesut Özil
127,3497.0,-0.003989413497588581,Vicente Iborra De La Fuente
128,3498.0,-0.363143579726265,Ignacio Monreal Eraso
129,3500.0,-0.17841313243105286,Granit Xhaka
130,3501.0,0.045291505474507665,Philippe Coutinho Correia
131,3502.0,0.039267092466867194,Joël Andre Job Matip
132,3504.0,-0.14562527849385143,Ruben Loftus-Cheek
133,3508.0,0.08354683546786612,Sandro Ramírez Castillo
134,3513.0,-0.0716691366411925,Oliver Burke
135,3515.0,-0.09082193710816805,Alberto Moreno Pérez
136,3517.0,-0.24915044918227386,Aaron Ramsey
137,3530.0,-0.40609092509212935,Hiroki Sakai
138,3531.0,0.28800312724310084,Mohamed Salah
139,3532.0,-0.10178354771489818,Jordan Brian Henderson
140,3533.0,-0.10942919895442914,Xherdan Shaqiri
141,3535.0,0.03765968228480154,Roberto Firmino Barbosa de Oliveira
142,3536.0,-0.0005366716641145139,Ramadan Sobhi Ramadan Ahmed
143,3538.0,-0.09001610774334225,Wayne Mark Rooney
144,3545.0,0.014449147216280465,Luiz Gustavo Dias
145,3551.0,0.012062585946803256,Karl Brillant Toko Ekambi
146,3555.0,-0.006459364864575014,Pape Moussa Konaté
147,3557.0,-0.1582419746057708,Naïm Sliti
