player_id,weights,Player Name,Market Value (mln €)
3495.0,-0.0,Joe Gomez,45.6
3496.0,-0.3,Mesut Özil,37.6
3497.0,-0.0,Vicente Iborra De La Fuente,46.9
3498.0,-0.4,Ignacio Monreal Eraso,34.7
3500.0,-0.2,Granit Xhaka,41.0
3501.0,0.0,Philippe Coutinho Correia,48.6
3502.0,0.0,Joël Andre Job Matip,48.4
3504.0,-0.1,Ruben Loftus-Cheek,42.1
3508.0,0.1,Sandro Ramírez Castillo,49.9
3513.0,-0.1,Oliver Burke,44.6
3515.0,-0.1,Alberto Moreno Pérez,43.9
3517.0,-0.2,Aaron Ramsey,38.6
3530.0,-0.4,Hiroki Sakai,33.3
3531.0,0.3,Mohamed Salah,57.2
3532.0,-0.1,Jordan Brian Henderson,43.5
3533.0,-0.1,Xherdan Shaqiri,43.4
3535.0,0.0,Roberto Firmino Barbosa de Oliveira,48.4
3536.0,0.0,Ramadan Sobhi Ramadan Ahmed,47.0
3538.0,-0.1,Wayne Mark Rooney,44.1
3545.0,0.0,Luiz Gustavo Dias,47.5
3551.0,0.0,Karl Brillant Toko Ekambi,47.4
3555.0,-0.0,Pape Moussa Konaté,46.8
3557.0,-0.2,Naïm Sliti,41.7
3567.0,0.1,Georginio Wijnaldum,49.4
3568.0,-0.1,Mohamed Naser Elsayed Elneny,43.5
3569.0,0.0,Daniel Nii Tackie Mensah Welbeck,47.4
3570.0,-0.3,Pierre-Emile Højbjerg,37.5
3575.0,-0.1,Oleksandr Zinchenko,42.1
3576.0,-0.1,Martin Olsson,45.0
3579.0,-0.0,Roberto Maximiliano Pereyra,45.6
3581.0,-0.1,Ryan Fraser,44.2
3593.0,-0.2,Renato Júnior Luz Sanches,41.7
3594.0,-0.1,Danny Rose,43.6
3601.0,0.0,Charly Musonda Junior,47.5
3602.0,-0.1,Faustino Marcos Alberto Rojo,44.7
3603.0,0.1,Mame Biram Diouf,50.2
3604.0,0.1,Olivier Giroud,51.3
3605.0,-0.0,Sung-Yeung Ki,45.4
3606.0,-0.2,Ander Herrera Agüera,39.9
3610.0,-0.1,Roque Mesa Quevedo,43.2
3612.0,-0.3,Ashley Young,36.0
3620.0,-0.1,Scott McTominay,42.7
3621.0,0.0,Eden Hazard,47.3
3625.0,-0.1,Sofiane Boufal,44.6
3629.0,0.1,Sadio Mané,51.7
3632.0,-0.1,André Martín Carrillo Díaz,42.1
3633.0,-0.7,Gareth Barry,23.7
3637.0,-0.3,Grzegorz Krychowiak,35.1
3638.0,-0.1,Shkodran Mustafi,42.9
3645.0,-0.0,Gary Cahill,46.9
3647.0,-0.0,Alex Iwobi,45.9
3655.0,-0.6,Andrew Robertson,25.8
3664.0,-0.9,Trent Alexander-Arnold,16.4
3666.0,-0.0,Robert Kenedy Nunes do Nascimento,46.8
3669.0,-0.1,Virgil van Dijk,44.4
3672.0,0.0,Zlatan Ibrahimović,47.0
3684.0,-0.0,Cheikhou Kouyaté,45.9
3702.0,-0.2,Victor Nilsson Lindelöf,41.0
3707.0,-0.1,Adrien Sebastian Perruchet Silva,42.2
3708.0,0.0,Kelechi Promise Iheanacho,48.6
3720.0,-0.1,Johann Berg Guðmunds­son,43.4
3721.0,-0.1,Etienne Capoue,43.9
3726.0,-0.0,Gerard Deulofeu Lázaro,45.8
3745.0,0.0,Lucas Rodrigues Moura da Silva,47.4
3767.0,-0.2,Ellyes Joris Skhiri,40.1
3804.0,-0.2,Ferland Mendy,38.6
3810.0,0.1,Shinji Okazaki,49.0
3831.0,-0.2,Dušan Tadić,41.0
3853.0,0.1,Kieffer Roberto Francisco Moore,51.6
3872.0,-0.1,Johnnie Jackson,41.9
3878.0,-0.0,Sam Morsy,45.9
3943.0,-0.1,Declan Rice,44.0
3944.0,-0.5,Gylfi Þór Sigurðsson,29.4
3951.0,-0.0,Mario Lemina,45.6
3953.0,-0.1,Aaron Lennon,43.9
3956.0,0.0,David Luiz Moreira Marinho,47.0
3957.0,-0.3,César Azpilicueta Tanco,36.4
3958.0,0.1,Pedro Eliezer Rodríguez Ledesma,49.6
3959.0,-0.1,Andreas Christensen,44.8
3960.0,-0.3,José Miguel da Rocha Fonte,35.8
3961.0,-0.2,N''Golo Kanté,41.8
3962.0,0.0,Diafra Sakho,47.2
3963.0,-0.2,Victor Moses,39.1
3969.0,-0.2,Aleksandar Dragović,41.4
